2026-02-12 21:24:17 | INFO     | netdiag.storage.logger:setup_logging:52 | Logging initialized
2026-02-12 21:24:17 | DEBUG    | netdiag.storage.logger:setup_logging:53 | Log files: output/netdiag.log, output/netdiag_errors.log
2026-02-12 21:24:17 | INFO     | netdiag.cli.main:main:57 | NetDiag started
2026-02-12 21:24:29 | INFO     | netdiag.cli.main:main:105 | Created test run directory: output/2026-02-12_212429_ping_test
2026-02-12 21:24:29 | DEBUG    | netdiag.storage.csv_handler:_create_csv:43 | Created CSV file: output/2026-02-12_212429_ping_test/results.csv
2026-02-12 21:24:29 | INFO     | netdiag.core.executor:run_command:55 | Executing command: ping -c 4 8.8.8.8
2026-02-12 21:24:32 | INFO     | netdiag.core.executor:run_command:76 | Command completed: ping -c 4 8.8.8.8 (return code: 0, duration: 3.31s)
2026-02-12 21:24:32 | DEBUG    | netdiag.storage.csv_handler:write_result:81 | Wrote result to CSV: packet_loss=0
2026-02-12 21:24:32 | DEBUG    | netdiag.storage.csv_handler:write_result:81 | Wrote result to CSV: avg_latency=187.468
2026-02-12 21:24:32 | DEBUG    | netdiag.storage.csv_handler:write_result:81 | Wrote result to CSV: max_latency=282.482
2026-02-12 21:24:32 | DEBUG    | netdiag.storage.csv_handler:write_result:81 | Wrote result to CSV: packets_received=4
2026-02-12 21:24:55 | INFO     | netdiag.cli.main:main:154 | NetDiag exited normally
2026-02-12 21:25:11 | INFO     | netdiag.storage.logger:setup_logging:52 | Logging initialized
2026-02-12 21:25:11 | DEBUG    | netdiag.storage.logger:setup_logging:53 | Log files: output/netdiag.log, output/netdiag_errors.log
2026-02-12 21:25:11 | INFO     | netdiag.cli.main:main:57 | NetDiag started
2026-02-12 21:26:12 | INFO     | netdiag.cli.main:main:105 | Created test run directory: output/2026-02-12_212612_ping_test
2026-02-12 21:26:12 | DEBUG    | netdiag.storage.csv_handler:_create_csv:43 | Created CSV file: output/2026-02-12_212612_ping_test/results.csv
2026-02-12 21:26:12 | INFO     | netdiag.core.executor:run_command:55 | Executing command: ping -c 4 google.com
2026-02-12 21:26:15 | INFO     | netdiag.core.executor:run_command:76 | Command completed: ping -c 4 google.com (return code: 0, duration: 3.25s)
2026-02-12 21:26:15 | DEBUG    | netdiag.storage.csv_handler:write_result:81 | Wrote result to CSV: packet_loss=0
2026-02-12 21:26:15 | DEBUG    | netdiag.storage.csv_handler:write_result:81 | Wrote result to CSV: avg_latency=113.983
2026-02-12 21:26:15 | DEBUG    | netdiag.storage.csv_handler:write_result:81 | Wrote result to CSV: max_latency=125.369
2026-02-12 21:26:15 | DEBUG    | netdiag.storage.csv_handler:write_result:81 | Wrote result to CSV: packets_received=4
2026-02-12 21:26:51 | INFO     | netdiag.cli.main:main:154 | NetDiag exited normally
2026-02-12 21:44:02 | INFO     | netdiag.storage.logger:setup_logging:52 | Logging initialized
2026-02-12 21:44:02 | DEBUG    | netdiag.storage.logger:setup_logging:53 | Log files: output/netdiag.log, output/netdiag_errors.log
2026-02-12 21:44:06 | INFO     | netdiag.cli.main:main:137 | NetDiag exited normally
